"郵便番号（7桁）","","導管事業者名","都道府県名","市区町村名","町域名","市区町村名","町域名","導管事業者ID","契約プランID","契約プラン名","託送供給契約約款区分","料金地区区分コード","備考"
"3430823","343-0823","東京ガス","埼玉県","越谷市","相模町","コシガヤシ","サガミチョウ","1","2","プレミアム5+プラン","","",""
"3430036","343-0036","東京ガス","埼玉県","越谷市","三野宮","コシガヤシ","サンノミヤ","1","2","プレミアム5+プラン","","",""
"3430851","343-0851","東京ガス","埼玉県","越谷市","七左町","コシガヤシ","シチザチョウ","1","2","プレミアム5+プラン","","",""
"3430045","343-0045","東京ガス","埼玉県","越谷市","下間久里","コシガヤシ","シモマクリ","1","2","プレミアム5+プラン","","",""
"3430852","343-0852","東京ガス","埼玉県","越谷市","新川町","コシガヤシ","シンカワチョウ","1","2","プレミアム5+プラン","","",""
"3430857","343-0857","東京ガス","埼玉県","越谷市","新越谷","コシガヤシ","シンコシガヤ","1","2","プレミアム5+プラン","","",""
"3430805","343-0805","東京ガス","埼玉県","越谷市","神明町","コシガヤシ","シンメイチョウ","1","2","プレミアム5+プラン","","",""
"3430042","343-0042","東京ガス","埼玉県","越谷市","千間台東","コシガヤシ","センゲンダイヒガシ","1","2","プレミアム5+プラン","","",""
"3430041","343-0041","東京ガス","埼玉県","越谷市","千間台西","コシガヤシ","センゲンダイニシ","1","2","プレミアム5+プラン","","",""
"3430825","343-0825","東京ガス","埼玉県","越谷市","大成町","コシガヤシ","タイセイチョウ","1","2","プレミアム5+プラン","","",""
"3430817","343-0817","東京ガス","埼玉県","越谷市","中町","コシガヤシ","ナカマチ","1","2","プレミアム5+プラン","","",""
"3430855","343-0855","東京ガス","埼玉県","越谷市","西新井","コシガヤシ","ニシアライ","1","2","プレミアム5+プラン","","",""
"3430822","343-0822","東京ガス","埼玉県","越谷市","西方","コシガヤシ","ニシカタ","1","2","プレミアム5+プラン","","",""
"3430846","343-0846","東京ガス","埼玉県","越谷市","登戸町","コシガヤシ","ノボリトチョウ","1","2","プレミアム5+プラン","","",""
"3430015","343-0015","東京ガス","埼玉県","越谷市","花田","コシガヤシ","ハナタ","1","2","プレミアム5+プラン","","",""
"3430022","343-0022","東京ガス","埼玉県","越谷市","東大沢","コシガヤシ","ヒガシオオサワ","1","2","プレミアム5+プラン","","",""
"3430023","343-0023","東京ガス","埼玉県","越谷市","東越谷","コシガヤシ","ヒガシコシガヤ","1","2","プレミアム5+プラン","","",""
"3430814","343-0814","東京ガス","埼玉県","越谷市","東柳田町","コシガヤシ","ヒガシヤナギダチョウ","1","2","プレミアム5+プラン","","",""
"3430002","343-0002","東京ガス","埼玉県","越谷市","平方","コシガヤシ","ヒラカタ","1","2","プレミアム5+プラン","","",""
"3430001","343-0001","東京ガス","埼玉県","越谷市","平方南町","コシガヤシ","ヒラカタミナミチョウ","1","2","プレミアム5+プラン","","",""
"3430032","343-0032","東京ガス","埼玉県","越谷市","袋山","コシガヤシ","フクロヤマ","1","2","プレミアム5+プラン","","",""
"3430003","343-0003","東京ガス","埼玉県","越谷市","船渡","コシガヤシ","フナト","1","2","プレミアム5+プラン","","",""
"3430011","343-0011","東京ガス","埼玉県","越谷市","増林","コシガヤシ","マシバヤシ","1","2","プレミアム5+プラン","","",""
"3430012","343-0012","東京ガス","埼玉県","越谷市","増森","コシガヤシ","マシモリ","1","2","プレミアム5+プラン","","",""
"3430804","343-0804","東京ガス","埼玉県","越谷市","南荻島","コシガヤシ","ミナミオギシマ","1","2","プレミアム5+プラン","","",""
"3430845","343-0845","東京ガス","埼玉県","越谷市","南越谷","コシガヤシ","ミナミコシガヤ","1","2","プレミアム5+プラン","","",""
"3430832","343-0832","東京ガス","埼玉県","越谷市","南町","コシガヤシ","ミナミチョウ","1","2","プレミアム5+プラン","","",""
"3430014","343-0014","東京ガス","埼玉県","越谷市","宮前","コシガヤシ","ミヤマエ","1","2","プレミアム5+プラン","","",""
"3430806","343-0806","東京ガス","埼玉県","越谷市","宮本町","コシガヤシ","ミヤモトチョウ","1","2","プレミアム5+プラン","","",""
"3430815","343-0815","東京ガス","埼玉県","越谷市","元柳田町","コシガヤシ","モトヤナギダチョウ","1","2","プレミアム5+プラン","","",""
"3430046","343-0046","東京ガス","埼玉県","越谷市","弥栄町","コシガヤシ","ヤサカチョウ","1","2","プレミアム5+プラン","","",""
"3430047","343-0047","東京ガス","埼玉県","越谷市","弥十郎","コシガヤシ","ヤジュウロウ","1","2","プレミアム5+プラン","","",""
"3430856","343-0856","東京ガス","埼玉県","越谷市","谷中町","コシガヤシ","ヤナカチョウ","1","2","プレミアム5+プラン","","",""
"3430812","343-0812","東京ガス","埼玉県","越谷市","柳町","コシガヤシ","ヤナギチョウ","1","2","プレミアム5+プラン","","",""
"3430816","343-0816","東京ガス","埼玉県","越谷市","弥生町","コシガヤシ","ヤヨイチョウ","1","2","プレミアム5+プラン","","",""
"3430828","343-0828","東京ガス","埼玉県","越谷市","レイクタウン","コシガヤシ","レイクタウン","1","2","プレミアム5+プラン","","",""
"3460029","346-0029","東京ガス","埼玉県","久喜市","江面","クキシ","エヅラ","1","2","プレミアム5+プラン","","",""
"3400212","340-0212","鷲宮ガス","埼玉県","久喜市","久本寺","クキシ","キュウホンジ","4","1","プレミアム10+プラン","","",""
"3460035","346-0035","東京ガス","埼玉県","久喜市","清久町","クキシ","キヨクチョウ","1","2","プレミアム5+プラン","","",""
"3410001","341-0001","東京ガス","埼玉県","三郷市","彦糸","ミサトシ","ヒコイト","1","2","プレミアム5+プラン","","",""
"3410002","341-0002","東京ガス","埼玉県","三郷市","彦音","ミサトシ","ヒコオト","1","2","プレミアム5+プラン","","",""
"3490122","349-0122","東京ガス","埼玉県","蓮田市","上","ハスダシ","カミ","1","2","プレミアム5+プラン","","",""
"3490121","349-0121","東京ガス","埼玉県","蓮田市","関山","ハスダシ","セキヤマ","1","2","プレミアム5+プラン","","",""
"3490115","349-0115","東京ガス","埼玉県","蓮田市","蓮田","ハスダシ","ハスダ","1","2","プレミアム5+プラン","","",""
"3490114","349-0114","東京ガス","埼玉県","蓮田市","馬込","ハスダシ","マゴメ","1","2","プレミアム5+プラン","","",""
"3490217","349-0217","東京ガス","埼玉県","白岡市","小久喜","シラオカシ","コグキ","1","2","プレミアム5+プラン","","",""
"3490204","349-0204","東京ガス","埼玉県","白岡市","篠津","シラオカシ","シノヅ","1","2","プレミアム5+プラン","","",""
"3620808","362-0808","伊奈都市ガス","埼玉県","北足立郡伊奈町","小針新宿","キタアダチグンイナマチ","コバリシンシュク","15","1","プレミアム10+プラン","","",""
"2710068","271-0068","京葉ガス","千葉県","松戸市","古ケ崎","マツドシ","コガサキ","18","338","プレミアムV+プラン","","",""
"2860044","286-0044","東京ガス","千葉県","成田市","不動ケ岡","ナリタシ","フドウガオカ","1","2","プレミアム5+プラン","","",""
"2770831","277-0831","京葉ガス","千葉県","柏市","根戸","カシワシ","ネド","18","338","プレミアムV+プラン","","",""
"2701168","270-1168","京葉ガス","千葉県","我孫子市","根戸","アビコシ","ネド","18","338","プレミアムV+プラン","","",""
"2701327","270-1327","東京ガス","千葉県","印西市","大森","インザイシ","オオモリ","1","2","プレミアム5+プラン","","",""
"2860202","286-0202","東京ガス","千葉県","富里市","日吉倉","トミサトシ","ヒヨシクラ","1","2","プレミアム5+プラン","","",""
"2860201","286-0201","東京ガス","千葉県","富里市","日吉台","トミサトシ","ヒヨシダイ","1","2","プレミアム5+プラン","","",""
"2160024","216-0024","東京ガス","神奈川県","川崎市宮前区","南平台","カワサキシミヤマエク","ナンペイダイ","1","2","プレミアム5+プラン","","",""
"2160026","216-0026","東京ガス","神奈川県","川崎市宮前区","初山","カワサキシミヤマエク","ハツヤマ","1","2","プレミアム5+プラン","","",""
"2520318","252-0318","東京ガス","神奈川県","相模原市南区","上鶴間本町","サガミハラシミナミク","カミツルマホンチョウ","1","2","プレミアム5+プラン","","",""
"3020123","302-0123","エナジー宇宙","茨城県","守谷市","乙子","モリヤシ","オトゴ","27","495","一般料金(我孫子・取手地区)","N1001","K003",""
"3020125","302-0125","エナジー宇宙","茨城県","守谷市","高野","モリヤシ","コウヤ","27","495","一般料金(我孫子・取手地区)","N1001","K003",""
"3020109","302-0109","エナジー宇宙","茨城県","守谷市","本町","モリヤシ","ホンチョウ","27","495","一般料金(我孫子・取手地区)","N1001","K003",""
"3370026","337-0026","エナジー宇宙","埼玉県","さいたま市見沼区","染谷","サイタマシミヌマク","ソメヤ","27","488","一般料金(一般ガス供給)","N1001","K002",""
"3390077","339-0077","エナジー宇宙","埼玉県","さいたま市岩槻区","馬込","サイタマシイワツキク","マゴメ","27","497","一般料金(蓮田地区)","N1001","K001",""
"3470033","347-0033","エナジー宇宙","埼玉県","加須市","下高柳","カゾシ","シモタカヤナギ","27","488","一般料金(一般ガス供給)","N1001","K002",""
"3470044","347-0044","エナジー宇宙","埼玉県","加須市","礼羽","カゾシ","ライハ","27","488","一般料金(一般ガス供給)","N1001","K002",""
"3650041","365-0041","エナジー宇宙","埼玉県","鴻巣市","小松","コウノスシ","コマツ","27","488","一般料金(一般ガス供給)","N1001","K002",""
"3650043","365-0043","エナジー宇宙","埼玉県","鴻巣市","原馬室","コウノスシ","ハラマムロ","27","488","一般料金(一般ガス供給)","N1001","K002",""
"3650042","365-0042","エナジー宇宙","埼玉県","鴻巣市","松原","コウノスシ","マツバラ","27","488","一般料金(一般ガス供給)","N1001","K002",""
"3430807","343-0807","エナジー宇宙","埼玉県","越谷市","赤山町","コシガヤシ","アカヤマチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430808","343-0808","エナジー宇宙","埼玉県","越谷市","赤山本町","コシガヤシ","アカヤマホンチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430826","343-0826","エナジー宇宙","埼玉県","越谷市","東町","コシガヤシ","アズマチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430831","343-0831","エナジー宇宙","埼玉県","越谷市","伊原","コシガヤシ","イハラ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430025","343-0025","エナジー宇宙","埼玉県","越谷市","大沢","コシガヤシ","オオサワ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430031","343-0031","エナジー宇宙","埼玉県","越谷市","大里","コシガヤシ","オオザト","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430005","343-0005","エナジー宇宙","埼玉県","越谷市","大杉","コシガヤシ","オオスギ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430034","343-0034","エナジー宇宙","埼玉県","越谷市","大竹","コシガヤシ","オオタケ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430044","343-0044","エナジー宇宙","埼玉県","越谷市","大泊","コシガヤシ","オオドマリ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430021","343-0021","エナジー宇宙","埼玉県","越谷市","大林","コシガヤシ","オオバヤシ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430027","343-0027","エナジー宇宙","埼玉県","越谷市","大房","コシガヤシ","オオフサ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430844","343-0844","エナジー宇宙","埼玉県","越谷市","大間野町","コシガヤシ","オオマノチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430035","343-0035","エナジー宇宙","埼玉県","越谷市","大道","コシガヤシ","オオミチ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430033","343-0033","エナジー宇宙","埼玉県","越谷市","恩間","コシガヤシ","オンマ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430037","343-0037","エナジー宇宙","埼玉県","越谷市","恩間新田","コシガヤシ","オンマシンデン","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430043","343-0043","エナジー宇宙","埼玉県","越谷市","上間久里","コシガヤシ","カミマクリ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430838","343-0838","エナジー宇宙","埼玉県","越谷市","蒲生","コシガヤシ","ガモウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430843","343-0843","エナジー宇宙","埼玉県","越谷市","蒲生茜町","コシガヤシ","ガモウアカネチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430842","343-0842","エナジー宇宙","埼玉県","越谷市","蒲生旭町","コシガヤシ","ガモウアサヒチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430834","343-0834","エナジー宇宙","埼玉県","越谷市","蒲生愛宕町","コシガヤシ","ガモウアタゴチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430836","343-0836","エナジー宇宙","埼玉県","越谷市","蒲生寿町","コシガヤシ","ガモウコトブキチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430841","343-0841","エナジー宇宙","埼玉県","越谷市","蒲生東町","コシガヤシ","ガモウヒガシチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430835","343-0835","エナジー宇宙","埼玉県","越谷市","蒲生西町","コシガヤシ","ガモウニシマチ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430833","343-0833","エナジー宇宙","埼玉県","越谷市","蒲生南町","コシガヤシ","ガモウミナミチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430837","343-0837","エナジー宇宙","埼玉県","越谷市","蒲生本町","コシガヤシ","ガモウホンチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430827","343-0827","エナジー宇宙","埼玉県","越谷市","川柳町","コシガヤシ","カワヤナギチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430821","343-0821","エナジー宇宙","埼玉県","越谷市","瓦曽根","コシガヤシ","カワラゾネ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430854","343-0854","エナジー宇宙","埼玉県","越谷市","北後谷","コシガヤシ","キタウシロヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430006","343-0006","エナジー宇宙","埼玉県","越谷市","北川崎","コシガヤシ","キタカワサキ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430026","343-0026","エナジー宇宙","埼玉県","越谷市","北越谷","コシガヤシ","キタコシガヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430024","343-0024","エナジー宇宙","埼玉県","越谷市","越ケ谷","コシガヤシ","コシガヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430813","343-0813","エナジー宇宙","埼玉県","越谷市","越ケ谷","コシガヤシ","コシガヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430818","343-0818","エナジー宇宙","埼玉県","越谷市","越ケ谷本町","コシガヤシ","コシガヤホンチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430811","343-0811","エナジー宇宙","埼玉県","越谷市","御殿町","コシガヤシ","ゴテンチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430823","343-0823","エナジー宇宙","埼玉県","越谷市","相模町","コシガヤシ","サガミチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430036","343-0036","エナジー宇宙","埼玉県","越谷市","三野宮","コシガヤシ","サンノミヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430851","343-0851","エナジー宇宙","埼玉県","越谷市","七左町","コシガヤシ","シチザチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430045","343-0045","エナジー宇宙","埼玉県","越谷市","下間久里","コシガヤシ","シモマクリ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430852","343-0852","エナジー宇宙","埼玉県","越谷市","新川町","コシガヤシ","シンカワチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430857","343-0857","エナジー宇宙","埼玉県","越谷市","新越谷","コシガヤシ","シンコシガヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430805","343-0805","エナジー宇宙","埼玉県","越谷市","神明町","コシガヤシ","シンメイチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430042","343-0042","エナジー宇宙","埼玉県","越谷市","千間台東","コシガヤシ","センゲンダイヒガシ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430041","343-0041","エナジー宇宙","埼玉県","越谷市","千間台西","コシガヤシ","センゲンダイニシ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430825","343-0825","エナジー宇宙","埼玉県","越谷市","大成町","コシガヤシ","タイセイチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430817","343-0817","エナジー宇宙","埼玉県","越谷市","中町","コシガヤシ","ナカマチ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430855","343-0855","エナジー宇宙","埼玉県","越谷市","西新井","コシガヤシ","ニシアライ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430822","343-0822","エナジー宇宙","埼玉県","越谷市","西方","コシガヤシ","ニシカタ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430846","343-0846","エナジー宇宙","埼玉県","越谷市","登戸町","コシガヤシ","ノボリトチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430015","343-0015","エナジー宇宙","埼玉県","越谷市","花田","コシガヤシ","ハナタ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430022","343-0022","エナジー宇宙","埼玉県","越谷市","東大沢","コシガヤシ","ヒガシオオサワ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430023","343-0023","エナジー宇宙","埼玉県","越谷市","東越谷","コシガヤシ","ヒガシコシガヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430814","343-0814","エナジー宇宙","埼玉県","越谷市","東柳田町","コシガヤシ","ヒガシヤナギダチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430002","343-0002","エナジー宇宙","埼玉県","越谷市","平方","コシガヤシ","ヒラカタ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430001","343-0001","エナジー宇宙","埼玉県","越谷市","平方南町","コシガヤシ","ヒラカタミナミチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430032","343-0032","エナジー宇宙","埼玉県","越谷市","袋山","コシガヤシ","フクロヤマ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430003","343-0003","エナジー宇宙","埼玉県","越谷市","船渡","コシガヤシ","フナト","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430011","343-0011","エナジー宇宙","埼玉県","越谷市","増林","コシガヤシ","マシバヤシ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430012","343-0012","エナジー宇宙","埼玉県","越谷市","増森","コシガヤシ","マシモリ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430804","343-0804","エナジー宇宙","埼玉県","越谷市","南荻島","コシガヤシ","ミナミオギシマ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430845","343-0845","エナジー宇宙","埼玉県","越谷市","南越谷","コシガヤシ","ミナミコシガヤ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430832","343-0832","エナジー宇宙","埼玉県","越谷市","南町","コシガヤシ","ミナミチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430014","343-0014","エナジー宇宙","埼玉県","越谷市","宮前","コシガヤシ","ミヤマエ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430806","343-0806","エナジー宇宙","埼玉県","越谷市","宮本町","コシガヤシ","ミヤモトチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430815","343-0815","エナジー宇宙","埼玉県","越谷市","元柳田町","コシガヤシ","モトヤナギダチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
"3430046","343-0046","エナジー宇宙","埼玉県","越谷市","弥栄町","コシガヤシ","ヤサカチョウ","27","499","一般料金(岩槻加倉・大間野・五霞・栗橋地区)","N1001","K001",""
