"確認済","","都道府県","市区","町村等","電力会社電話番号","水道局問い合わせ先","水道局電話番号","受付時間","定休日","ＨＰ","","","",""
"済","2351","愛知県","あま市","古道","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2352","愛知県","あま市","金岩","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2353","愛知県","あま市","木田","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2354","愛知県","あま市","森山","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2355","愛知県","あま市","中橋","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2356","愛知県","あま市","丹波","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2357","愛知県","あま市","蜂須賀","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2358","愛知県","あま市","篠田","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2359","愛知県","あま市","北苅","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2360","愛知県","あま市","小橋方","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2361","愛知県","あま市","乙之子","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2362","愛知県","あま市","甚目寺","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2363","愛知県","あま市","本郷","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2364","愛知県","あま市","坂牧","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2365","愛知県","あま市","下萱津","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2366","愛知県","あま市","中萱津","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2367","愛知県","あま市","上萱津","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2368","愛知県","あま市","西今宿","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2369","愛知県","あま市","森","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2370","愛知県","あま市","方領","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2371","愛知県","あま市","石作","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2372","愛知県","あま市","小路","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2373","愛知県","あま市","新居屋","0120-985-723","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2011","福井県","あわら市","","0120-776453","あわら水道課","0776-73-8036","8：30～17：15","土・日・祝","http://www.city.awara.lg.jp/mokuteki/life/life05/life0501/p000370.html","","","",""
"不可","1729","千葉県","いすみ市","","0120-99-5551","ヴェオリア・ジェネッツ株式会社","0470-62-4013","×","×","×","","","",""
"不可","7042","鹿児島県","いちき串木野市","","0120-986-802","いちき串木野市水道課","0996-21-5155","平日8：30～17：15","土日祝","http://www.city.ichikikushikino.lg.jp/shimin1/kurashi/koseki/kyujitsu.html","","","",""
"不可","2883","三重県","いなべ市","","0120-985-341","いなべ水道CS","0594-72-3516","","","","","","",""
"済","424","福島県","いわき市","","0120-175-266","いわき市水道料金センター","0246-22-9300","8：30～17：15","土・日・祝","http://www.city.iwaki.lg.jp/www/contents/1001000002078/index.html","","","",""
"済","7086","沖縄県","うるま市","","0120-586-390","うるま水道部","098-975-2201 ","8：30～17：15","土・日・祝日","https://www.city.uruma.lg.jp/kurashi/110/518/8481","","","",""
"済","6998","宮崎県","えびの市","","0120-986-705","えびの水道課","0984-35-1111","8：30～17：15","土・日・祝","https://www.city.ebino.lg.jp/display.php?cont=100904133633","","","",""
"済","484","茨城県","かすみがうら市","","0120-995-331","かすみがうら水道課","029-897-1346","8：30～17：15","土・日・祝","https://www.city.kasumigaura.lg.jp/section.php?code=22","","","",""
"不可","1990","石川県","かほく市","","0120-776453","かほく水道課","076-283-7106","8：30～17：15","土・日・祝","","","","",""
"済","6868","福岡県","嘉麻市","","","水道局業務係","0948-42-7063","8：30～17：00","土・日・祝日","http://www.city.kama.lg.jp/info/prev.asp?fol_id=4752","","","",""
"済","6276","高知県","高知市","","0120-410-430","高知水道CS","088-832-1132","8：30～19：00　土日8：30～17：15","","https://www.city.kochi.kochi.jp/soshiki/182/","","","",""
"済","695","埼玉県","さいたま市浦和区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","698","埼玉県","さいたま市岩槻区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","692","埼玉県","さいたま市見沼区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","694","埼玉県","さいたま市桜区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","689","埼玉県","さいたま市西区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","691","埼玉県","さいたま市大宮区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","693","埼玉県","さいたま市中央区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","696","埼玉県","さいたま市南区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","690","埼玉県","さいたま市北区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","697","埼玉県","さいたま市緑区","","0120-995-441","水道局受付センター","048-665-3220","8：00～21：00","年中無休","","","","",""
"済","634","栃木県","さくら市","","0120-995-111","さくら水道料金センター","028-681-1216","月8：30～19：00　火～金8：30～17：15　土8：30～17：00","日・祝","http://www.city.tochigi-sakura.lg.jp/site/shinseisyo/shinseisyo-suido.html","","","",""
"済","6238","香川県","さぬき市","","0120-410-712","さぬき水道課","0879-43-2047","8：30～17：15","土・日・祝日","","","","",""
"不可","4856","兵庫県","たつの市","","0800-777-8083","たつの水道","0791-75-4400","","","","","","",""
"不可","199","青森県","つがる市","","0120-175-266","津軽広域水道","0172-52-6033","","","","","","",""
"不可","489","茨城県","つくばみらい市","","0120-995-331","つくばみらい上下水道課","0297-52-6100","8：30～17：15","土・日・祝","","","","",""
"済","474","茨城県","つくば市","","0120-995-331","つくば水道CS","029-851-2811","8：30～17：15","祝祭日","https://www.city.tsukuba.lg.jp/kurashi/kankyo/suido/ryokin/1000882.html","","","",""
"済","6176","徳島県","つるぎ町","","0120-410-778","つるぎ町水道課","0883-62-3112","8：30～17：15","土・日・祝","https://www.town.tokushima-tsurugi.lg.jp/chosei/soshiki/","","","",""
"不可","323","秋田県","にかほ市","","0120-175-266","にかほ水道局","0184-37-3131","","","","","","",""
"済","475","茨城県","ひたちなか市","","0120-995-331","ひたちなか水道事業所","029-274-1177","平日8:30～17:30　日8:30～12:00　13:00～17:30","土曜日","http://business4.plala.or.jp/h-lcs/suidou/suidou.htm","","","",""
"済","736","埼玉県","ふじみ野市","","0120-995-441","ふじみ野市水道センター","049-220-2077","9：00～17：00","土・日・祝日","","","","",""
"済","662","群馬県","みどり市","","0120-99-5221","群馬東部水道企業団CS","0276-45-2731","8：30～17：15","土・日・祝日","","","","",""
"","","福島県","南相馬市","鹿嶋区","","相馬水道事業団","0244-35-6700","8：30～17：15","土・日・祝","","","","",""
"済","7145","福岡県","みやま市","","0120-986-211","上下水道課","0944-64-1533","平日8：30～17：00","土日祝","http://www.city.miyama.lg.jp/info/prev.asp?fol_id=175","","","",""
"不可","","福岡県","宮若市","","宮若市水道科","宮若市水道科","0949-32-1005","","","","","","",""
"済","2771","愛知県","みよし市","","0120-985-640","愛知中部水道企業団","0561-37-0141","8：30～17：15","土・日・祝日","http://www.suidou-aichichubu.or.jp/0101konna/01henko.html","","","",""
"済","198","青森県","むつ市","","0120-175-266","むつ水道CC","0175-31-1132","8：30～17：15","土・日・祝日","","","","",""
"済","1947","新潟県","阿賀野市","","0120-175-266","阿賀野水道局","0250-62-2159","8：30～17：15","土・日・祝","","","","",""
"不可","182","北海道","阿寒郡","鶴居村","0120-12-6565","鶴居水道係","0154-64-2115","","","","","","",""
"不可","7022","鹿児島県","阿久根市","","0120-986-801","阿久根水道課","0996-73-1102","平日8：30～17：15","土日祝","http://www.city.akune.kagoshima.jp/gs_result.html?cx=009346962929044486145%3Am1jxup68n0u&ie=UTF-8&q=%E5%96%B6%E6%A5%AD%E6%99%82%E9%96%93&sa=%E6%A4%9C%E7%B4%A2&siteurl=www.city.akune.kagoshima.jp%2Findex.html&ref=www.city.akune.kagoshima.jp%2Fgs_result.html%3Fcx%3D009346962929044486145%253Am1jxup68n0u%26ie%3DUTF-8%26q%3D%25E5%259C%259F%25E6%2597%25A5%25E7%25A5%259D%26sa%3D%25E6%25A4%259C%25E7%25B4%25A2%26siteurl%3Dwww.city.akune.kagoshima.jp%252Findex.html%26ref%3Dwww.city.akune.kagoshima.jp%252Fkurashitetsuzuki%252Fsuido%252Fkaishikyushi.html%26ss%3D3774j1705416j15&ss=4760j2898934j18","","","",""
"不可","6942","熊本県","阿蘇郡","南小国町","0120-986-602","南小国町役場","0967-42-1111","","","","","","",""
"不可","6943","熊本県","阿蘇郡","小国町","0120-986-502","小国建設課","0967-46-2114","","","","","","",""
"不可","6944","熊本県","阿蘇郡","産山村","0120-986-505","産山村役場","0967-25-2213","","","","","","",""
"不可","6945","熊本県","阿蘇郡","高森町","0120-986-602","高森水道係","0967-62-1111","","","","","","",""
"不可","6946","熊本県","阿蘇郡","西原村","0120-986-602","西原水道係","096-279-3111","","","","","","",""
"不可","6947","熊本県","阿蘇郡","南阿蘇村","0120-986-602","南阿蘇村役場","0967-67-1111","","","","","","",""
"不可","6932","熊本県","阿蘇市","","0120-986-602","阿蘇水道局","0967-22-3196","","","","","","",""
"済","6154","徳島県","阿南市","","0120-161-220","阿南市業務課","0884-22-0587","8：30～17：15","土・日・祝","https://www.city.awa.lg.jp/soshiki/ichiba-shoka/suidouka/","","","",""
"不可","6156","徳島県","阿波市","","0120-036-117","阿波市お客様センター","0883-36-5142","","","","","","",""
"不可","6147","山口県","阿武郡","阿武町","0120-615-227","阿武町役場","08388-2-3112","","","","","","",""
"済","1920","神奈川県","愛甲郡","愛川町","0120-99-5775","県水道コールセンター","0570-005959","月～土8：30～19：00","日曜祝日","http://www.pref.kanagawa.jp/docs/r4a/okyakusamacc/main.html","","","",""
"済","2227","愛知県","愛西市","福原新田町","0120-985-341","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"不可","2228","愛知県","愛西市","大野町","0120-985-711","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2229","愛知県","愛西市","鰯江町","0120-985-711","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2230","愛知県","愛西市","善太新田町","0120-985-711","愛西市上水道課","0567-26-8111","","","","","","",""
"済","2231","愛知県","愛西市","佐屋町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2232","愛知県","愛西市","須依町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2233","愛知県","愛西市","内佐屋町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2234","愛知県","愛西市","柚木町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2235","愛知県","愛西市","北一色町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2236","愛知県","愛西市","日置町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2237","愛知県","愛西市","稲葉町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2238","愛知県","愛西市","甘村井町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2239","愛知県","愛西市","金棒町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2240","愛知県","愛西市","落合町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2241","愛知県","愛西市","西保町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2242","愛知県","愛西市","東保町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2243","愛知県","愛西市","西條町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2244","愛知県","愛西市","東條町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2245","愛知県","愛西市","本部田町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2246","愛知県","愛西市","大井町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2247","愛知県","愛西市","鰯江新田町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2248","愛知県","愛西市","早尾町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2249","愛知県","愛西市","葛木町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2250","愛知県","愛西市","戸倉町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2251","愛知県","愛西市","新右エ門新田町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2252","愛知県","愛西市","下一色町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2253","愛知県","愛西市","四会町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2254","愛知県","愛西市","宮地町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2255","愛知県","愛西市","石田町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2256","愛知県","愛西市","後江町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2257","愛知県","愛西市","雀ケ森町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2258","愛知県","愛西市","山路町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2259","愛知県","愛西市","森川町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2260","愛知県","愛西市","小茂井町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2261","愛知県","愛西市","三和町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"済","2262","愛知県","愛西市","立田町","0120-985-721","海部南部水道企業団","0567-32-3111","8：30～17：00","土・日・祝日","http://www1.clovernet.ne.jp/amasui/","","","",""
"不可","2263","愛知県","愛西市","上東川町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2264","愛知県","愛西市","下東川町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2265","愛知県","愛西市","鵜多須町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2266","愛知県","愛西市","二子町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2267","愛知県","愛西市","川北町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2268","愛知県","愛西市","藤ケ瀬町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2269","愛知県","愛西市","給父町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2270","愛知県","愛西市","高畑町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2271","愛知県","愛西市","江西町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2272","愛知県","愛西市","元赤目町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2273","愛知県","愛西市","赤目町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2274","愛知県","愛西市","立石町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2275","愛知県","愛西市","下大牧町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2276","愛知県","愛西市","塩田町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2277","愛知県","愛西市","勝幡町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2278","愛知県","愛西市","佐折町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2279","愛知県","愛西市","千引町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2280","愛知県","愛西市","古瀬町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2281","愛知県","愛西市","諸桑町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2282","愛知県","愛西市","持中町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2283","愛知県","愛西市","南河田町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2284","愛知県","愛西市","北河田町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2285","愛知県","愛西市","小津町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2286","愛知県","愛西市","六輪町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2287","愛知県","愛西市","諏訪町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2288","愛知県","愛西市","根高町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2289","愛知県","愛西市","見越町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2290","愛知県","愛西市","町方町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2291","愛知県","愛西市","草平町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2292","愛知県","愛西市","鷹場町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2293","愛知県","愛西市","大野山町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2294","愛知県","愛西市","渕高町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2295","愛知県","愛西市","西川端町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","2296","愛知県","愛西市","宇治町","0120-985-721","愛西市上水道課","0567-26-8111","","","","","","",""
"不可","3395","滋賀県","愛知郡愛荘町","","0800-777-8062","愛知郡水道事業部","0749-46-0168","","","http://www.echi-kouiki.jp/tapwater/download/syomyousiki/saikaiippan.pdf","","","",""
"済","2297","愛知県","愛知郡東郷町","","0120-985-713","愛知中部水道企業団","0561-37-0141","8：30～17：15","土・日・祝日","http://www.suidou-aichichubu.or.jp/0101konna/01henko.html","","","",""
"不可","7055","鹿児島県","姶良郡","湧水町","0120-986-803","湧水水道課","0995-74-3111","平日8：.30～17：15","土日祝","https://www.town.yusui.kagoshima.jp/soshiki/2.html","","","",""
"済","7050","鹿児島県","姶良市","","0120-986-803","姶良水道部","0995-65-3450","平日8：30～17：15","土日祝","http://www.city.aira.lg.jp/wgyomu/kurashi/jogesuido/suido/todokede.html","","","",""
"済","7138","鹿児島県","姶良市加治木町","","0120-986-803","姶良水道部","0995-65-3450","平日8：30～17：15","土日祝","http://www.city.aira.lg.jp/wgyomu/kurashi/jogesuido/suido/todokede.html","","","",""
"済","1142","千葉県","旭市","","0120-99-5551","旭市水道お客様センター","0479-63-8881","平日8：30～18：00、土曜8：30～12：00","土・日・祝日","https://www.city.asahi.lg.jp/section/suidou/index.html","","","",""
"済","13","北海道","旭川市","","0120-12-6565","旭川水道局CS","0166-24-3163","8：45～17：15","土・日・祝日","https://www.city.asahikawa.hokkaido.jp/kurashi/440/441/4424/d000000b.html","","","",""
"不可","6954","熊本県","葦北郡","芦北町","0120-986-606","芦北町役場","0966-82-2511","","","","","","",""
"不可","6955","熊本県","葦北郡","津奈木町","0120-986-606","津奈木町役場  ","0966-78-3111","","","","","","",""
